dataset,model,seed,outlier_rate,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
ring,vae,2,0.03,0.005802512168884277,0.23420783507362597,0.261,0.8255,0.6552511415525114,,0.06847449104239736,0.4507589340209961
ring,ddpm,2,0.03,0.0013172626495361328,0.07576886409588804,0.839,0.99,0.9155251141552512,,0.06847449104239736,1.8477089405059814
ring,kde,2,0.08,0.0016345333009288865,0.0981638225458609,0.8005,0.9985,0.954337899543379,1.470780021175616,0.06847449104239736,0.23540806770324707
ring,gmm,2,0.08,0.0005586735320817215,0.05949658180290704,0.92,0.9835,0.8698630136986302,1.2957710385584575,0.06847449104239736,0.2534358501434326
ring,vae,2,0.08,0.0017229318618774414,0.21900717844003725,0.2665,0.843,0.6415525114155252,,0.06847449104239736,0.4142329692840576
ring,ddpm,2,0.08,0.0012110471725463867,0.10483123874678045,0.5485,0.9855,0.8995433789954338,,0.06847449104239736,1.2922680377960205
ring,kde,2,0.15,0.002496170162902267,0.1182014792184981,0.766,0.995,0.9292237442922374,1.5261733534612862,0.06847449104239736,0.23782777786254883
ring,gmm,2,0.15,0.0027560892687112926,0.12512843211847088,0.867,0.9745,0.8356164383561644,1.347356470522673,0.06847449104239736,0.28679895401000977
ring,vae,2,0.15,0.0031508207321166992,0.23911838255918103,0.2355,0.816,0.6004566210045662,,0.06847449104239736,0.5791659355163574
ring,ddpm,2,0.15,0.002267003059387207,0.20242972851441662,0.2645,0.8715,0.6666666666666666,,0.06847449104239736,1.3319668769836426
two_moons,kde,2,0.0,0.00018846147733198038,0.02684061020913383,0.9625,0.984,0.8737270875763747,1.6524342189874008,0.08487141575175422,0.1990809440612793
two_moons,gmm,2,0.0,0.0001918498381612288,0.03099370012168131,0.9725,0.983,0.8472505091649695,1.6680527400935958,0.08487141575175422,0.18379592895507812
two_moons,vae,2,0.0,0.006518959999084473,0.1738948414741519,0.5025,0.9355,0.7861507128309573,,0.08487141575175422,0.9636540412902832
two_moons,ddpm,2,0.0,0.0010056495666503906,0.07536804525384805,0.685,0.972,0.8391038696537678,,0.08487141575175422,2.0795021057128906
two_moons,kde,2,0.03,0.0008418797700786573,0.06337457019991781,0.7975,0.9945,0.9266802443991853,1.895006260640292,0.08487141575175422,0.221998929977417
two_moons,gmm,2,0.03,0.00027074268543958446,0.03760141253818014,0.955,0.985,0.8329938900203666,1.6549223436601537,0.08487141575175422,0.21586394309997559
two_moons,vae,2,0.03,0.006494283676147461,0.18725923304487924,0.4875,0.9245,0.7515274949083504,,0.08487141575175422,0.5881693363189697
two_moons,ddpm,2,0.03,0.0022977590560913086,0.11733054219824632,0.6,0.9665,0.8167006109979633,,0.08487141575175422,1.4937000274658203
two_moons,kde,2,0.08,0.0009793374292490498,0.06541369887037571,0.843,0.9955,0.8961303462321792,1.8059708527950642,0.08487141575175422,0.22756195068359375
two_moons,gmm,2,0.08,0.0013288057244691398,0.08003371944194501,0.914,0.98,0.8187372708757638,1.7008398878911135,0.08487141575175422,0.22732901573181152
two_moons,vae,2,0.08,0.003898143768310547,0.17490057696267866,0.46,0.929,0.7230142566191446,,0.08487141575175422,0.5796868801116943
two_moons,ddpm,2,0.08,0.0006847381591796875,0.09939598625014043,0.551,0.965,0.8024439918533605,,0.08487141575175422,2.7152328491210938
two_moons,kde,2,0.15,0.002834725807546734,0.10990310962101602,0.806,0.994,0.879837067209776,1.8584310943461668,0.08487141575175422,0.23993277549743652
two_moons,gmm,2,0.15,0.0032082378644997522,0.12438409549133077,0.8645,0.9805,0.8553971486761711,1.7538277302711833,0.08487141575175422,0.34818410873413086
two_moons,vae,2,0.15,0.006424903869628906,0.20482704519476747,0.422,0.8815,0.6863543788187373,,0.08487141575175422,0.6854820251464844
two_moons,ddpm,2,0.15,0.003628969192504883,0.13344324678923591,0.4925,0.9465,0.790224032586558,,0.08487141575175422,2.728088140487671
spiral,kde,2,0.0,0.0005973245780610537,0.049219533081355266,0.965,0.9825,0.8176895306859205,2.1580440740489593,0.11130851324048838,0.19393396377563477
spiral,gmm,2,0.0,0.00037673558021134035,0.048200548098619365,0.81,0.958,0.7545126353790613,2.4907562950623223,0.11130851324048838,0.2031259536743164
spiral,vae,2,0.0,0.0006101131439208984,0.07089100690948079,0.72,0.913,0.6913357400722022,,0.11130851324048838,0.4492909908294678
spiral,ddpm,2,0.0,0.001958131790161133,0.10057090754580744,0.726,0.925,0.7111913357400722,,0.11130851324048838,3.116147994995117
spiral,kde,2,0.03,0.0007729729647683037,0.06062105058437461,0.8445,0.988,0.8285198555956679,2.4029909576963804,0.11130851324048838,0.20765399932861328
spiral,gmm,2,0.03,0.0005251149607210515,0.061185212556315545,0.788,0.925,0.6895306859205776,2.5249294598526393,0.11130851324048838,0.3281431198120117
spiral,vae,2,0.03,0.0006163120269775391,0.06963033714239972,0.6975,0.918,0.7111913357400722,,0.11130851324048838,0.6924893856048584
